,Open,High,Low,Close,Adj Close,Volume
2021-01-15 15:00:00+01:00,52.5,53.0,52.5,53.0,53.0,9
2021-01-18 09:00:00+01:00,52.0,52.0,50.0,51.0,51.0,25440
2021-01-18 10:00:00+01:00,51.5,51.5,51.0,51.0,51.0,945
2021-01-18 11:00:00+01:00,51.0,51.0,51.0,51.0,51.0,55
2021-01-18 12:00:00+01:00,51.0,51.0,50.5,50.5,50.5,2013
2021-01-18 13:00:00+01:00,50.5,51.0,50.0,50.0,50.0,5108
2021-01-18 14:00:00+01:00,50.5,50.5,50.0,50.0,50.0,3501
2021-01-18 15:00:00+01:00,50.0,51.0,50.0,51.0,51.0,10556
2021-01-18 16:00:00+01:00,50.0,51.0,50.0,51.0,51.0,1442
2021-01-19 11:00:00+01:00,50.0,50.0,50.0,50.0,50.0,300
2021-01-19 12:00:00+01:00,50.0,50.0,50.0,50.0,50.0,400
2021-01-19 13:00:00+01:00,50.0,50.0,50.0,50.0,50.0,250
2021-01-19 14:00:00+01:00,50.0,50.0,49.0,50.0,50.0,1176
2021-01-19 15:00:00+01:00,50.0,51.0,49.20000076293945,49.20000076293945,49.20000076293945,14280
2021-01-19 16:00:00+01:00,50.0,50.0,50.0,50.0,50.0,250
2021-01-20 09:00:00+01:00,50.0,50.5,50.0,50.5,50.5,0
2021-01-20 11:00:00+01:00,50.5,50.5,50.5,50.5,50.5,1280
2021-01-20 12:00:00+01:00,50.0,50.0,49.400001525878906,50.0,50.0,226
2021-01-20 13:00:00+01:00,50.0,50.0,50.0,50.0,50.0,200
2021-01-20 15:00:00+01:00,50.0,50.0,50.0,50.0,50.0,818
2021-01-21 09:00:00+01:00,50.0,50.5,50.0,50.5,50.5,8774
2021-01-21 10:00:00+01:00,50.5,50.5,50.5,50.5,50.5,3400
2021-01-21 11:00:00+01:00,50.5,50.5,50.5,50.5,50.5,1400
2021-01-21 12:00:00+01:00,50.5,50.5,50.0,50.0,50.0,4357
2021-01-21 13:00:00+01:00,50.5,50.5,50.5,50.5,50.5,471
2021-01-21 14:00:00+01:00,50.5,50.5,50.5,50.5,50.5,474
2021-01-21 15:00:00+01:00,51.0,52.0,51.0,52.0,52.0,9799
